Wavelength (microns),Radiant power flux at 5800 degrees K,Radiant power flux at 288 degrees K
0.1,2.01E+08,1.37E-192
0.2,1.53E+12,1.26E-85
0.3,1.26E+13,2.38E-50
0.4,2.36E+13,6.78E-33
0.5,2.69E+13,1.56E-22
0.6,2.49E+13,1.07E-15
0.7,2.11E+13,7.23E-11
0.8,1.71E+13,0.000000277
1,1.09E+13,0.0241
2,1.52E+12,52900000
3,3.81E+11,28800000000
4,1.35E+11,4.39E+11
5,5.93E+10,1.75E+12
6,2.99E+10,3.71E+12
7,1.67E+10,5.64E+12
8,1.00E+10,7.07E+12
10,4.23E+09,8.12E+12
20,2.82E+08,3.34E+12
30,5.69E+07,1.14E+12
40,1.82E+07,4.68E+11
50,7.49E+06,2.22E+11
60,3.63E+06,1.18E+11
70,1.96E+06,68100000000
80,1.15E+06,41900000000
